promo_id,category,start_date,end_date,promo_type,discount_rate
1001,Tools,2025-09-04,2025-09-11,15% Off,0.12
1002,Fitness,2025-09-11,2025-09-18,15% Off,0.18
1003,Home,2025-09-08,2025-09-16,Bundle Deal,0.18
1004,Personal Care,2025-09-03,2025-09-13,Free Shipping,0.11
1005,Electronics,2025-09-02,2025-09-12,BOGO 50%,0.18
1006,Tools,2025-10-06,2025-10-18,10% Off,0.08
1007,Fitness,2025-10-09,2025-10-16,15% Off,0.12
1008,Home,2025-10-09,2025-10-18,BOGO 50%,0.11
1009,Personal Care,2025-10-04,2025-10-09,10% Off,0.08
1010,Electronics,2025-10-03,2025-10-15,Free Shipping,0.09
1011,Tools,2025-11-08,2025-11-16,Free Shipping,0.19
1012,Fitness,2025-11-06,2025-11-15,BOGO 50%,0.16
1013,Home,2025-11-05,2025-11-11,BOGO 50%,0.12
1014,Personal Care,2025-11-11,2025-11-22,10% Off,0.19
1015,Electronics,2025-11-07,2025-11-15,15% Off,0.17
1016,Tools,2025-12-06,2025-12-13,10% Off,0.11
1017,Fitness,2025-12-08,2025-12-20,10% Off,0.1
1018,Home,2025-12-11,2025-12-17,10% Off,0.19
1019,Personal Care,2025-12-05,2025-12-10,15% Off,0.16
1020,Electronics,2025-12-04,2025-12-10,10% Off,0.19
1021,Tools,2026-01-03,2026-01-15,Bundle Deal,0.1
1022,Fitness,2026-01-03,2026-01-10,Free Shipping,0.15
1023,Home,2026-01-01,2026-01-13,Free Shipping,0.16
1024,Personal Care,2026-01-03,2026-01-08,10% Off,0.2
1025,Electronics,2026-01-01,2026-01-08,15% Off,0.1
1026,Tools,2026-02-08,2026-02-17,BOGO 50%,0.2
1027,Fitness,2026-02-07,2026-02-13,Bundle Deal,0.18
1028,Home,2026-02-01,2026-02-13,BOGO 50%,0.15
1029,Personal Care,2026-02-10,2026-02-18,Bundle Deal,0.12
1030,Electronics,2026-02-03,2026-02-13,Free Shipping,0.13
